5_20 (4517.96,3682.10) 235.09999999999093
5_20 (4357.28,3419.97) 356.00000000001245
5_20 (4300.64,3060.28) 415.500000000026
5_21 (234.82,3832.67) 419.900000000027
5_20 (4216.03,2788.40) 468.0
5_21 (549.80,3609.57) 479.9000000000406
5_21 (1129.56,3294.42) 599.9000000000678
5_20 (3647.35,2362.55) 600.500000000068
5_20 (3117.32,2360.43) 658.2000000000811
5_21 (1639.19,3117.55) 719.9000000000951
3_10 (692.10,2765.92) 743.3000000001005
5_21 (2134.52,2910.56) 780.0
5_20 (2682.42,2717.99) 781.000000000109
2_5 (4958.60,5307.90) 832.3000000001207
1_0 (1813.84,6562.13) 836.9000000001217
5_20 (2397.35,2835.91) 839.3000000001223
2_5 (4757.86,5123.39) 878.9000000001313
1_0 (1798.28,5936.50) 897.1000000001354
4_15 (5556.55,7266.24) 899.9000000001361
5_21 (2364.28,2844.39) 900.0000000001361
3_10 (1129.56,3294.42) 902.4000000001366
5_20 (2215.22,2884.26) 936.8000000001445
2_5 (4515.28,4877.38) 955.6000000001487
4_15 (5420.26,6826.81) 959.9000000001497
5_21 (2662.05,2729.44) 960.0000000001497
3_10 (1436.25,3595.99) 963.7000000001506
5_20 (1690.41,3102.28) 999.5000000001587
2_5 (4365.94,4766.67) 1011.7000000001615
1_0 (1506.44,5440.66) 1015.2000000001623
4_15 (5276.88,6407.32) 1019.9000000001633
3_10 (1635.79,3796.62) 1023.8000000001642
1_0 (1718.63,5120.42) 1075.0
4_16 (3268.58,4966.02) 1075.3000000001175
5_21 (3101.00,2395.21) 1080.0000000001132
5_20 (1171.27,3280.42) 1121.4000000000756
2_5 (3984.73,4276.77) 1136.5000000000618
3_11 (2586.74,1155.40) 1140.0
4_15 (5172.72,6068.84) 1140.0
1_1 (7561.71,2343.04) 1140.0000000000587
2_6 (5088.33,92.47) 1140.0000000000587
5_21 (3641.05,2360.43) 1140.0000000000587
3_10 (2396.88,4128.74) 1145.0000000000541
1_0 (2266.48,4665.30) 1196.1000000000076
4_16 (3092.70,4726.37) 1196.1000000000076
1_1 (7237.87,2406.66) 1199.9000000000042
3_11 (2977.85,1013.31) 1200.000000000004
4_15 (5047.65,5634.92) 1200.000000000004
5_20 (685.15,3513.71) 1221.5999999999844
3_12 (692.10,2765.92) 1223.299999999983
2_5 (3657.99,4314.09) 1252.6999999999562
4_16 (3495.74,4491.82) 1256.8999999999523
1_1 (6859.88,2452.89) 1259.8999999999496
2_6 (4860.56,210.38) 1259.9999999999495
5_21 (4153.82,2734.11) 1259.9999999999495
3_10 (2812.77,4128.31) 1261.599999999948
5_20 (253.36,3820.37) 1299.0
4_16 (3657.99,4314.09) 1313.399999999901
2_5 (3371.72,3925.99) 1314.6999999998998
1_0 (2812.77,4128.31) 1314.7999999998997
1_2 (1813.84,6562.13) 1317.0999999998976
1_1 (6411.20,2547.90) 1319.899999999895
2_6 (4465.96,1037.48) 1319.999999999895
3_11 (3238.10,1528.66) 1319.999999999895
4_15 (4989.74,5088.18) 1319.999999999895
5_21 (4300.63,3033.14) 1319.999999999895
3_10 (3263.48,3909.87) 1321.0
5_20 (26.01,3958.65) 1357.6999999998607
2_7 (4958.60,5307.90) 1372.3999999998473
1_0 (3263.48,3909.87) 1374.1999999998457
4_16 (3371.72,3925.99) 1375.2999999998447
1_2 (1798.28,5936.50) 1377.2999999998428
2_6 (4494.31,1621.12) 1379.9999999998404
4_15 (5038.05,4689.47) 1379.9999999998404
5_21 (4350.78,3397.49) 1379.9999999998404
2_7 (4757.86,5123.39) 1418.4999999998054
2_5 (3602.20,3696.94) 1428.5999999997962
1_1 (6136.39,2608.56) 1439.899999999786
3_11 (3636.20,2097.02) 1439.9999999997858
3_10 (3602.20,3696.94) 1441.0999999997848
4_16 (3602.20,3696.94) 1489.199999999741
2_5 (3925.44,3512.44) 1489.6999999997406
1_0 (3602.20,3696.94) 1494.2999999997364
1_2 (1506.44,5440.66) 1495.4999999997353
2_7 (4515.28,4877.38) 1495.899999999735
1_1 (5776.46,2604.32) 1499.8999999997313
2_6 (4464.10,2195.85) 1499.9999999997312
3_11 (3641.30,2359.58) 1499.9999999997312
4_15 (4997.17,4236.05) 1499.9999999997312
5_21 (4507.38,3658.35) 1499.9999999997312
3_10 (3925.44,3512.44) 1502.1999999997292
2_5 (4291.07,3396.22) 1549.1999999996865
4_16 (3925.44,3512.44) 1550.2999999996855
2_7 (4365.94,4766.67) 1552.1999999996838
1_2 (1718.63,5120.42) 1555.199999999681
1_0 (3925.44,3512.44) 1555.3999999996809
1_1 (5298.58,2698.05) 1559.8999999996768
3_11 (3893.79,2482.58) 1559.9999999996767
5_21 (4777.56,3677.43) 1559.9999999996767
4_17 (5556.55,7266.24) 1560.0999999996766
5_20 (234.82,3832.67) 1613.499999999628
1_1 (4970.82,2860.51) 1619.8999999996222
