"(0.0, 3973.49)","(48.000740051, 7.7876725197)"
"(26.01, 3958.65)","(48.000606536999996, 7.7880210876)"
"(46.94, 3946.35)","(48.000495911, 7.788301467899999)"
"(113.76, 3907.33)","(48.000144958, 7.7891969681)"
"(209.95, 3848.79)","(47.99961853, 7.7904858588999994)"
"(212.94, 3847.52)","(47.999607086000005, 7.790525913200001)"
"(234.82, 3832.67)","(47.999473572, 7.7908191681)"
"(253.36, 3820.37)","(47.999362946000005, 7.7910676003)"
"(277.49, 3804.68)","(47.999221802, 7.7913908958)"
"(332.01, 3769.05)","(47.998901366999995, 7.7921214104)"
"(535.0, 3620.17)","(47.997562408, 7.794841289500001)"
"(549.8, 3609.57)","(47.99746704100001, 7.7950396538)"
"(657.96, 2600.07)","(47.988388062, 7.7964873314)"
"(669.87, 2664.97)","(47.98897171, 7.7966470718)"
"(672.29, 2672.61)","(47.989040375, 7.7966794967999995)"
"(685.15, 3513.71)","(47.996604919, 7.7968530655)"
"(692.1, 2765.92)","(47.989879608, 7.7969450951)"
"(723.3, 3485.71)","(47.996353148999994, 7.7973642349)"
"(735.19, 3475.96)","(47.996265411, 7.7975234985)"
"(744.19, 3467.48)","(47.996189117, 7.797644138300001)"
"(751.58, 3024.66)","(47.992206573000004, 7.7977423668)"
"(753.0, 3030.59)","(47.992259978999996, 7.7977614402999995)"
"(756.31, 3040.35)","(47.992347717, 7.7978057861000005)"
"(758.16, 3044.17)","(47.99238205, 7.7978305816999995)"
"(763.75, 3052.23)","(47.99245452899999, 7.7979054451)"
"(768.94, 3057.32)","(47.992500305, 7.7979750633)"
"(770.49, 3437.78)","(47.995922089, 7.797996521)"
"(782.25, 3067.5)","(47.992591858000004, 7.7981534003999995)"
"(796.44, 3411.91)","(47.995689391999996, 7.7983441353)"
"(798.41, 3080.22)","(47.992706299, 7.7983698845000005)"
"(805.27, 3086.58)","(47.99276351899999, 7.7984619141)"
"(811.79, 3095.91)","(47.992847443, 7.7985491753)"
"(811.96, 3400.03)","(47.995582581, 7.7985520363)"
"(825.48, 3143.42)","(47.993274688999996, 7.7987327576)"
"(830.04, 3390.28)","(47.995494843, 7.7987942696)"
"(837.69, 3386.46)","(47.99546051, 7.7988967896000005)"
"(846.79, 3222.31)","(47.993984221999995, 7.799018383)"
"(858.42, 3248.19)","(47.994216918999996, 7.7991743088)"
"(862.6, 3377.98)","(47.995384216000005, 7.799230575599999)"
"(881.37, 3279.57)","(47.994499207, 7.7994818687)"
"(890.52, 3289.33)","(47.994586945, 7.7996044159)"
"(902.4, 3300.36)","(47.994686127, 7.799763679500001)"
"(910.97, 3371.62)","(47.995326996, 7.7998785973)"
"(922.79, 3314.35)","(47.994812012, 7.8000369072)"
"(934.45, 3364.83)","(47.995265961, 7.8001933098)"
"(946.95, 3327.5)","(47.994930267, 7.800360679600001)"
"(958.84, 3331.74)","(47.994968414, 7.8005199432)"
"(968.44, 3334.71)","(47.994995116999995, 7.800648689299999)"
"(975.63, 3335.99)","(47.995006561000004, 7.8007450104)"
"(982.89, 3336.41)","(47.995010376, 7.8008422852)"
"(986.13, 3346.17)","(47.995098113999994, 7.8008856773)"
"(991.68, 3335.99)","(47.995006561000004, 7.8009600639)"
"(1006.59, 3334.71)","(47.994995116999995, 7.8011598587)"
"(1016.24, 3333.02)","(47.994979858, 7.801289081599999)"
"(1016.74, 3336.83)","(47.995014191, 7.8012957573)"
"(1031.9, 3330.9)","(47.994960785, 7.8014988899)"
"(1050.97, 3324.96)","(47.994907379, 7.8017544746)"
"(1057.74, 3318.17)","(47.994846343999995, 7.8018450737)"
"(1079.55, 3312.66)","(47.994796753, 7.8021373749)"
"(1088.27, 3307.99)","(47.994754791000005, 7.8022542)"
"(1129.56, 3294.42)","(47.994632721, 7.8028073311)"
"(1171.27, 3280.42)","(47.994506836000006, 7.8033661842)"
"(1181.48, 3277.03)","(47.994476318000004, 7.8035030364999995)"
"(1191.34, 3275.76)","(47.994464873999995, 7.803635120399999)"
"(1197.21, 3276.18)","(47.994468688999994, 7.8037137985000005)"
"(1202.84, 3277.45)","(47.994480133, 7.8037891388)"
"(1208.32, 3279.57)","(47.994499207, 7.8038625717)"
"(1217.6, 3285.51)","(47.994552612, 7.8039870262)"
"(1222.02, 3261.76)","(47.994338989, 7.804046154)"
"(1222.87, 3291.03)","(47.994602203, 7.804057598099999)"
"(1236.61, 3254.12)","(47.994270325, 7.8042416573)"
"(1253.81, 3246.07)","(47.994197845, 7.804471969600001)"
"(1270.21, 3237.16)","(47.994117736999996, 7.8046917915)"
"(1290.11, 3398.34)","(47.995567322, 7.8049588202999995)"
"(1293.28, 3223.58)","(47.993995667, 7.8050007820000005)"
